dataset,model,scope,repetition,half_probe_count,mean_left,mean_right,signed_model_mean_difference,absolute_model_mean_difference,sample_mae,sample_rmse,sample_spearman
refcoco,groundingdino,full_manifest,0,40,0.8553999999999999,0.8553499999999999,5.000000000000315e-05,5.000000000000315e-05,0.02915,0.049409007276001816,0.9473304583357136
refcoco,groundingdino,clean_eligible,0,40,0.8571142284569138,0.8570641282565129,5.0100200400804815e-05,5.0100200400804815e-05,0.029208416833667337,0.0494584905205278,0.9469867498051899
refcoco,groundingdino,full_manifest,1,40,0.85775,0.853,0.004749999999999999,0.004749999999999999,0.030150000000000003,0.05011237372146724,0.9421559631646953
refcoco,groundingdino,clean_eligible,1,40,0.8594689378757515,0.8547094188376754,0.004759519038076151,0.004759519038076151,0.03021042084168337,0.05016256138924986,0.9417776043203653
refcoco,groundingdino,full_manifest,2,40,0.85525,0.8555,-0.0002499999999999998,0.0002499999999999998,0.02865,0.0491553659329274,0.9536046557467328
refcoco,groundingdino,clean_eligible,2,40,0.8569639278557114,0.8572144288577155,-0.0002505010020040082,0.0002505010020040082,0.028707414829659317,0.04920459515501309,0.9533023955474879
refcoco,groundingdino,full_manifest,3,40,0.8558499999999999,0.8549,0.0009499999999999991,0.0009499999999999991,0.03075,0.05446329038903177,0.9489873226018122
refcoco,groundingdino,clean_eligible,3,40,0.8575651302605211,0.8566132264529058,0.0009519038076152296,0.0009519038076152296,0.030811623246492986,0.054517835510753315,0.9486545940033009
refcoco,groundingdino,full_manifest,4,40,0.8557,0.85505,0.000649999999999999,0.000649999999999999,0.02935,0.0489004089962446,0.9490930099494153
refcoco,groundingdino,clean_eligible,4,40,0.8574148296593187,0.8567635270541083,0.0006513026052104198,0.0006513026052104198,0.02940881763527054,0.048949382878319694,0.9487606922075449
refcoco,groundingdino,full_manifest,5,40,0.8569500000000001,0.8538,0.003149999999999999,0.003149999999999999,0.029450000000000004,0.05050990001969911,0.947919556363738
refcoco,groundingdino,clean_eligible,5,40,0.8586673346693388,0.8555110220440881,0.0031563126252505,0.0031563126252505,0.029509018036072147,0.05056048581106497,0.9475795781790705
refcoco,groundingdino,full_manifest,6,40,0.8557,0.85505,0.0006500000000000006,0.0006500000000000006,0.03105,0.052879580179876616,0.9517961398051838
refcoco,groundingdino,clean_eligible,6,40,0.8574148296593187,0.8567635270541082,0.0006513026052104217,0.0006513026052104217,0.031112224448897795,0.05293253921185748,0.951481779796164
refcoco,groundingdino,full_manifest,7,40,0.85635,0.8544,0.00195,0.00195,0.029150000000000002,0.050658168146904006,0.9537542223903024
refcoco,groundingdino,clean_eligible,7,40,0.858066132264529,0.8561122244488978,0.0019539078156312626,0.0019539078156312626,0.029208416833667337,0.05070890242917059,0.953452812626483
refcoco,groundingdino,full_manifest,8,40,0.8542000000000001,0.8565499999999999,-0.0023499999999999997,0.0023499999999999997,0.02885,0.05041081233227649,0.9534074601694309
refcoco,groundingdino,clean_eligible,8,40,0.8559118236472947,0.8582665330661322,-0.002354709418837675,0.002354709418837675,0.028907815631262525,0.05046129888707524,0.9531039242057451
refcoco,groundingdino,full_manifest,9,40,0.8553499999999999,0.8553999999999999,-5.000000000000282e-05,5.000000000000282e-05,0.028950000000000004,0.04848968962573384,0.9485797861776567
