dataset,model,eligible_sample_count,mean_interval_width,median_interval_width,p90_interval_width,p95_interval_width,maximum_interval_width,fraction_width_le_0_10,fraction_width_le_0_20
refcoco,groundingdino,499,0.11896041542881158,0.09790079775079197,0.22245932437331872,0.2262384751780408,0.22790423327018144,0.5070140280561122,0.7775551102204409
refcoco,yoloworld,364,0.16635613875386235,0.196323219283627,0.2275388174992837,0.22783784985237548,0.22790423327018144,0.22802197802197802,0.5274725274725275
refcocoplus,groundingdino,1000,0.1233953174228915,0.11925400299562883,0.2211615944603076,0.2262384751780408,0.22790423327018144,0.453,0.781
refcocoplus,yoloworld,757,0.17167372534499356,0.20520578228737052,0.2273060454567667,0.2276385769460767,0.22790423327018144,0.1928665785997358,0.47556142668428003
refl4,groundingdino,1000,0.1130379410598161,0.08436506976578273,0.2197178258931904,0.2262384751780408,0.22790423327018144,0.536,0.807
refl4,yoloworld,781,0.1695159878245239,0.19948383139999432,0.22683963641603166,0.2276385769460767,0.22790423327018144,0.2023047375160051,0.5070422535211268
