dataset,model,pair_count,theta_hat,probe_variance_share_R80,required_R_for_5pct_probe_share,standard_error_R80,standard_error_R160,standard_error_infinite_R,relative_se_reduction_80_to_160,relative_se_excess_over_infinite_R,clean_eligibility_rate,average_eligible_sample_probe_rmse_R80,split_half_p95_absolute_model_difference,probe_share_criterion_pass,split_half_criterion_pass,sample_rmse_criterion_pass,model_level_adequate
refcoco,groundingdino,500,0.855375,0.02844457160193416,45,0.008731714001776372,0.00866939917749154,0.00860663318543113,0.007136608490859286,0.014533071603071601,0.998,0.032962408146678814,0.004449999999999999,True,True,True,True
refcoco,owlv2,500,0.739475,0.024031627011093994,38,0.011533597508712794,0.011464095318050194,0.011394169185583248,0.006026063473265432,0.012236813484037157,0.976,0.04046844084660152,0.00585,True,True,True,True
refcoco,yoloworld,500,0.511775,0.009756257892668213,15,0.016808617819917018,0.016767570397497045,0.016726422243086136,0.0024420462681550557,0.004914115860303436,0.728,0.0435103874962328,0.005049999999999999,True,True,True,True
refcocoplus,groundingdino,1000,0.8511625,0.03123996498715364,50,0.006044886930435645,0.005997490605533329,0.005949716726464328,0.007840729768439353,0.015995753805891466,1.0,0.03378651915457225,0.0031750000000000007,True,True,True,True
refcocoplus,owlv2,1000,0.7331875,0.021325480330754872,34,0.008537733246168602,0.008492093443174427,0.008446207025196547,0.005345658113019175,0.010836369591582962,0.968,0.040073226752130264,0.004074999999999999,True,True,True,True
refcocoplus,yoloworld,1000,0.501775,0.011520621713543552,18,0.011443256091907796,0.011410250135968301,0.011377148427692432,0.0028843150650832306,0.005810565330628403,0.757,0.04464158807716037,0.0036500000000000013,True,True,True,True
refl4,groundingdino,1000,0.8703125,0.027655101222911982,44,0.005954111818003695,0.005912803130171398,0.005871203809359551,0.006937842132455399,0.014121125979646099,1.0,0.03131155330310465,0.003175,True,True,True,True
refl4,owlv2,1000,0.7676875,0.02438036088445774,38,0.007808398823442348,0.007760659995801229,0.007712625684870439,0.006113779370208112,0.012417708635826141,0.998,0.03859373243649047,0.003975,True,True,True,True
refl4,yoloworld,1000,0.536325,0.011783392020803342,19,0.011351540725903764,0.011318051412216383,0.011284462711502697,0.0029501998447628995,0.0059442807438843115,0.781,0.0440924730244254,0.0036500000000000005,True,True,True,True
