model,eligible_samples,probe_count,coverage,conditional_ranking,operational_stability,conditional_minus_operational,predicted_gap_from_identity,gap_identity_residual,operational_risk,coverage_risk,conditional_ranking_risk,risk_identity_residual
groundingdino,1000,80000,0.977625,0.8902314282061118,0.8703125,0.01991892820611174,0.019918928206111783,4.163336342344337e-17,0.12968749999999996,0.022375000000000034,0.10731249999999996,4.163336342344337e-17
yoloworld,781,62480,0.778585147247119,0.8820046869218435,0.6867157490396927,0.19528893788215085,0.19528893788215088,2.7755575615628914e-17,0.3132842509603073,0.22141485275288098,0.09186939820742637,2.7755575615628914e-17
owlv2,998,79840,0.8934619238476954,0.8609498976645078,0.7692259519038076,0.0917239457607002,0.09172394576070018,1.3877787807814457e-17,0.2307740480961924,0.1065380761523046,0.12423597194388779,1.3877787807814457e-17
