model,diagnostic_budget,mean_family_stability_error,mean_family_risk_share_error
groundingdino,5,0.008037499999999986,0.008636832023487636
groundingdino,10,0.00436249999999998,0.0066772937905467565
groundingdino,20,0.0015625,0.0021353219454219472
groundingdino,40,0.0011125000000000273,0.001498645214742972
yoloworld,5,0.006113956466069126,0.003936807623204188
yoloworld,10,0.0063060179257362296,0.0034242442830004494
yoloworld,20,0.005217669654289358,0.0032905303539656123
yoloworld,40,0.0038412291933418883,0.0019972774401086565
