model,competitor_rank,count,share
groundingdino,2,6484,0.7552708211997671
groundingdino,3,1367,0.159231217239371
groundingdino,4,475,0.0553290623179965
groundingdino,5,259,0.030168899242865463
yoloworld,2,4412,0.7686411149825784
yoloworld,3,849,0.14790940766550523
yoloworld,4,304,0.0529616724738676
yoloworld,5,175,0.03048780487804878
