dataset,model,diagnostic_budget,scope,predictor,bin_lower,bin_upper,sample_count,mean_prediction,mean_reference_operational,calibration_gap
refcoco,groundingdino,20,paired_complete_cases,complete_case_persistence,0.7,0.8,20,0.7393679712100765,0.685625,0.05374297121007643
refcoco,groundingdino,20,paired_complete_cases,complete_case_persistence,0.8,0.9,44,0.829741298433249,0.8051136363636364,0.024627662069612533
refcoco,groundingdino,20,paired_complete_cases,complete_case_persistence,0.9,1.0,376,0.9890319188058755,0.9256981382978723,0.0633337805080032
refcoco,groundingdino,20,paired_complete_cases,coverage_aware_operational,0.0,0.1,2,0.05,0.15625,-0.10625
refcoco,groundingdino,20,paired_complete_cases,coverage_aware_operational,0.1,0.2,1,0.1,0.25,-0.15
refcoco,groundingdino,20,paired_complete_cases,coverage_aware_operational,0.2,0.3,8,0.21875,0.30000000000000004,-0.08125000000000004
refcoco,groundingdino,20,paired_complete_cases,coverage_aware_operational,0.3,0.4,8,0.33749999999999997,0.39375000000000004,-0.05625000000000008
refcoco,groundingdino,20,paired_complete_cases,coverage_aware_operational,0.4,0.5,11,0.4181818181818182,0.45909090909090905,-0.04090909090909084
refcoco,groundingdino,20,paired_complete_cases,coverage_aware_operational,0.5,0.6,23,0.5217391304347827,0.532608695652174,-0.010869565217391242
refcoco,groundingdino,20,paired_complete_cases,coverage_aware_operational,0.6,0.7,33,0.6303030303030303,0.6287878787878788,0.0015151515151514694
refcoco,groundingdino,20,paired_complete_cases,coverage_aware_operational,0.7,0.8,28,0.7249999999999999,0.7258928571428571,-0.0008928571428572507
refcoco,groundingdino,20,paired_complete_cases,coverage_aware_operational,0.8,0.9,68,0.8213235294117647,0.8113970588235295,0.009926470588235148
refcoco,groundingdino,20,paired_complete_cases,coverage_aware_operational,0.9,1.0,317,0.9798107255520505,0.9716876971608832,0.008123028391167297
refcoco,groundingdino,40,paired_complete_cases,complete_case_persistence,0.1,0.2,2,0.16249999999999998,0.225,-0.06250000000000003
refcoco,groundingdino,40,paired_complete_cases,complete_case_persistence,0.2,0.3,2,0.2278846153846154,0.34375,-0.11586538461538459
refcoco,groundingdino,40,paired_complete_cases,complete_case_persistence,0.3,0.4,7,0.3595313089673992,0.3696428571428572,-0.010111548175458007
refcoco,groundingdino,40,paired_complete_cases,complete_case_persistence,0.4,0.5,11,0.44040404040404046,0.4602272727272728,-0.019823232323232354
refcoco,groundingdino,40,paired_complete_cases,complete_case_persistence,0.5,0.6,13,0.5422196073738723,0.49615384615384617,0.04606576122002615
refcoco,groundingdino,40,paired_complete_cases,complete_case_persistence,0.6,0.7,22,0.6457612414849258,0.6176136363636364,0.028147605121289332
