dataset,model,diagnostic_budget,statistic,definition,estimate,lower_95,upper_95,bootstrap_repetitions,paired_sample_count
refcocoplus,yoloworld,5,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.09614984460762498,0.08451830681649608,0.10839126242397272,2000,749
refcocoplus,yoloworld,5,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.20595700934579442,0.18680184690698712,0.2251029149977748,2000,749
refcocoplus,yoloworld,10,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.1616051348155156,0.144783940397351,0.17786242510249128,2000,755
refcocoplus,yoloworld,10,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.09901136264566532,0.08695740913853896,0.1103813620386222,2000,755
refcocoplus,yoloworld,10,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.2136956023336487,0.19454978713339646,0.23141784925890888,2000,755
refcocoplus,yoloworld,20,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.17536219481370363,0.1594269380420996,0.19152360117887446,2000,756
refcocoplus,yoloworld,20,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.10096348579261398,0.08939420246133073,0.11282788582086858,2000,756
refcocoplus,yoloworld,20,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.21551570377114276,0.1984087930788168,0.2327926646003394,2000,756
refcocoplus,yoloworld,40,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.1839193235825902,0.16806658288315118,0.19981991204356836,2000,757
refcocoplus,yoloworld,40,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.10110052160598489,0.09003200729234437,0.11231703255371679,2000,757
refcocoplus,yoloworld,40,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.21539749800226404,0.1983249606210896,0.23211072444955577,2000,757
refl4,groundingdino,5,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.0026332791124457798,-2.5442108775452338e-05,0.005431056056056057,2000,999
refl4,groundingdino,5,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.001110173923923921,0.00013706762317873647,0.0022297158269380547,2000,999
refl4,groundingdino,5,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.008943155655655663,-0.0030538872205538793,0.01918668668668669,2000,999
refl4,groundingdino,10,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.005938646980313646,0.0033126777571222074,0.008759314870425975,2000,999
refl4,groundingdino,10,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.0020173766125662026,0.0011365000913611798,0.0030763947959990745,2000,999
refl4,groundingdino,10,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.016964653343820007,0.009894646630757741,0.02190372912595135,2000,999
refl4,groundingdino,20,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.008672258924073863,0.0058767150138947675,0.011777075773061654,2000,1000
refl4,groundingdino,20,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.0030547280664641346,0.0017720017628327107,0.004879364564306211,2000,1000
refl4,groundingdino,20,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.018179304395265036,0.012724736178961209,0.022571025703742413,2000,1000
refl4,groundingdino,40,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.010052254475537557,0.007131685434213655,0.013334522219241023,2000,1000
refl4,groundingdino,40,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.0032051134577884186,0.0018560124068090606,0.004966573405930566,2000,1000
refl4,groundingdino,40,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.017538617930384776,0.012216123320433708,0.022159607823399187,2000,1000
refl4,yoloworld,5,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.12883438845822567,0.1153402239448751,0.143026754952627,2000,774
refl4,yoloworld,5,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.07979966820987652,0.07023074127906978,0.0902789037826586,2000,774
refl4,yoloworld,5,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.18815032299741602,0.1700761735572782,0.2056435723514212,2000,774
refl4,yoloworld,10,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.14391471743382847,0.13010675825743218,0.15845827729893838,2000,779
refl4,yoloworld,10,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.08331521983534297,0.07350997307620098,0.09369015712594167,2000,779
refl4,yoloworld,10,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.19352765679442507,0.17671470342522969,0.21043284023065795,2000,779
refl4,yoloworld,20,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.15543178764954557,0.14158140198471228,0.17008956820167073,2000,780
refl4,yoloworld,20,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.08300031081162725,0.0733590735919462,0.09353519374481606,2000,780
refl4,yoloworld,20,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.19577664759194813,0.18069202374577162,0.21139531497594427,2000,780
refl4,yoloworld,40,mae_advantage,complete_case_persistence minus coverage_aware_operational,0.16437861882212174,0.15004727609515017,0.17895578224203523,2000,781
refl4,yoloworld,40,brier_advantage,complete_case_persistence minus coverage_aware_operational,0.08374575147163776,0.07405005825946522,0.09387501299007349,2000,781
refl4,yoloworld,40,absolute_bias_advantage,complete_case_persistence minus coverage_aware_operational,0.19682971153613482,0.18132618422849495,0.21303443870459488,2000,781
