dataset,model,sample_count,eligible_count,probe_budget,eligible_probe_trials,covered_probe_trials,stable_probe_trials,clean_eligibility,coverage,complete_case_persistence,eligible_operational_stability,full_manifest_operational_stability,coverage_optimism,eligibility_optimism,total_optimism,predicted_coverage_optimism,predicted_eligibility_optimism,predicted_total_optimism,coverage_identity_residual,eligibility_identity_residual,total_identity_residual
refcoco,groundingdino,500,499,80,39920,37722,34215,0.998,0.944939879759519,0.9070303801495149,0.8570891783567134,0.855375,0.04994120179280148,0.0017141783567133917,0.05165538014951487,0.049941201792801496,0.0017141783567134281,0.05165538014951492,1.3877787807814457e-17,3.642919299551295e-17,4.85722573273506e-17
refcoco,owlv2,500,488,80,39040,34489,29579,0.976,0.8834272540983606,0.8576357679260054,0.7576588114754098,0.739475,0.09997695645059557,0.018183811475409817,0.11816076792600538,0.09997695645059557,0.01818381147540985,0.11816076792600537,0.0,3.469446951953614e-17,1.3877787807814457e-17
refcoco,yoloworld,500,364,80,29120,23503,20471,0.728,0.8071085164835164,0.8709951921031358,0.7029876373626374,0.511775,0.16800755474049844,0.19121263736263738,0.3592201921031358,0.16800755474049844,0.19121263736263738,0.3592201921031358,0.0,0.0,0.0
refcocoplus,groundingdino,1000,1000,80,80000,74993,68093,1.0,0.9374125,0.9079914125318364,0.8511625,0.8511625,0.056828912531836306,0.0,0.056828912531836306,0.05682891253183633,0.0,0.05682891253183633,2.0816681711721685e-17,0.0,2.0816681711721685e-17
refcocoplus,owlv2,1000,968,80,77440,67379,58655,0.968,0.8700800619834711,0.8705234568634144,0.7574251033057852,0.7331875,0.1130983535576292,0.02423760330578517,0.13733595686341438,0.11309835355762926,0.024237603305785147,0.13733595686341443,5.551115123125783e-17,2.42861286636753e-17,5.551115123125783e-17
refcocoplus,yoloworld,1000,757,80,60560,46052,40142,0.757,0.760435931307794,0.8716668114305568,0.6628467635402906,0.501775,0.2088200478902662,0.16107176354029062,0.3698918114305568,0.20882004789026612,0.16107176354029062,0.36989181143055677,8.326672684688674e-17,0.0,5.551115123125783e-17
refl4,groundingdino,1000,1000,80,80000,78210,69625,1.0,0.977625,0.8902314282061118,0.8703125,0.8703125,0.01991892820611174,0.0,0.01991892820611174,0.019918928206111783,0.0,0.019918928206111783,4.163336342344337e-17,0.0,4.163336342344337e-17
refl4,owlv2,1000,998,80,79840,71334,61415,0.998,0.8934619238476954,0.8609498976645078,0.7692259519038076,0.7676875,0.0917239457607002,0.001538451903807636,0.09326239766450783,0.09172394576070018,0.0015384519038076166,0.0932623976645078,1.3877787807814457e-17,1.951563910473908e-17,2.7755575615628914e-17
refl4,yoloworld,1000,781,80,62480,48646,42906,0.781,0.778585147247119,0.8820046869218435,0.6867157490396927,0.536325,0.19528893788215085,0.15039074903969263,0.3456796869218435,0.19528893788215088,0.15039074903969268,0.3456796869218435,2.7755575615628914e-17,5.551115123125783e-17,0.0
