dataset,model,settings,min_complete_case_persistence,max_complete_case_persistence,min_full_manifest_operational,max_full_manifest_operational,min_total_optimism,max_total_optimism
refcoco,groundingdino,27,0.9042796643606806,0.9310183864526336,0.8505250000000001,0.901125,0.019696276541380286,0.05677425060671515
refcoco,owlv2,27,0.8540339239475139,0.9020300583221176,0.73185,0.8095500000000001,0.07882489696103756,0.125418361251025
refcoco,yoloworld,27,0.8682842287694975,0.9002906413485758,0.509,0.5844749999999999,0.3091352499515596,0.3620160427807486
refcocoplus,groundingdino,27,0.904669647951804,0.9348876587430804,0.84245,0.9012375,0.02115515834932824,0.06603554289950797
refcocoplus,owlv2,27,0.8663901752740488,0.9116743581317598,0.7238125,0.8015875000000001,0.1014322538576653,0.14676919079728779
refcocoplus,yoloworld,27,0.8675496688741722,0.8978896564777137,0.4993125,0.5980875,0.2958312295656236,0.3730585934940707
refl4,groundingdino,27,0.8885140296379285,0.9267794555564339,0.8675625,0.8812750000000001,0.016126529637928377,0.04775151592029314
refl4,owlv2,27,0.8541278113000549,0.9124155405405405,0.7543500000000001,0.819425,0.06655551948051941,0.10669413086592372
refl4,yoloworld,27,0.876031884469505,0.9099754050925926,0.5305,0.6364749999999999,0.26865343302817524,0.35302243156032065
