model,comparison,full_manifest_delta,lower_95,upper_95
groundingdino,RefCOCO+ minus RefCOCO,-0.004212499999999952,-0.025553437500000074,0.016451562500000065
yoloworld,RefCOCO+ minus RefCOCO,-0.010000000000000009,-0.0517768749999998,0.029200312500000054
