dataset,model,family,severity_bin,strength_low,strength_high,strength_mid,full_manifest_stability,lower,upper,eligible_probe_trials
RefCOCO+,groundingdino,resolution,4,0.6,0.8,0.7,0.83516139141335,0.8112270071551292,0.8576022134186764,3191
RefCOCO+,groundingdino,resolution,5,0.8,1.0,0.9,0.7987401574803149,0.7732727029985822,0.8240234061689476,3175
RefCOCO+,groundingdino,gaussian_noise,1,0.0,0.2,0.1,0.9701351776171016,0.9612896728210563,0.9786567901497196,3181
RefCOCO+,groundingdino,gaussian_noise,2,0.2,0.4,0.3,0.9315237507711289,0.9170014679010215,0.9449924416148325,3242
RefCOCO+,groundingdino,gaussian_noise,3,0.4,0.6,0.5,0.9130571249215317,0.8974503845571754,0.9287944460080683,3186
RefCOCO+,groundingdino,gaussian_noise,4,0.6,0.8,0.7,0.8862708136977694,0.8661389350852026,0.9046127026774748,3183
RefCOCO+,groundingdino,gaussian_noise,5,0.8,1.0,0.9,0.8672069825436409,0.8467682691127186,0.8870967741935484,3208
RefCOCO+,owlv2,blur,1,0.0,0.2,0.1,0.8080154340836012,0.7841230809419271,0.8316552645125525,3110
RefCOCO+,owlv2,blur,2,0.2,0.4,0.3,0.6737455487212689,0.6448543468197389,0.7034435344048753,3089
RefCOCO+,owlv2,blur,3,0.4,0.6,0.5,0.5698355987055016,0.5391427781276894,0.6022954984694862,3090
RefCOCO+,owlv2,blur,4,0.6,0.8,0.7,0.49976702862783806,0.46791822236886654,0.5323717074469402,3039
RefCOCO+,owlv2,blur,5,0.8,1.0,0.9,0.43713164556962025,0.4044922806455421,0.4679367519096622,3160
RefCOCO+,owlv2,brightness,1,0.0,0.2,0.1,0.9259667943805874,0.9105968877653269,0.9401746714983996,3132
RefCOCO+,owlv2,brightness,2,0.2,0.4,0.3,0.8897335058214748,0.8713048605615359,0.9073257977366881,3092
RefCOCO+,owlv2,brightness,3,0.4,0.6,0.5,0.8659211563731932,0.8469748323806079,0.8847719211003824,3044
RefCOCO+,owlv2,brightness,4,0.6,0.8,0.7,0.8282013129102844,0.8067680337964414,0.8500572933406498,3199
RefCOCO+,owlv2,brightness,5,0.8,1.0,0.9,0.8077881496193313,0.7854346142776071,0.831225608954605,3021
RefCOCO+,owlv2,jpeg,1,0.0,0.2,0.1,0.807559752523608,0.7860951411729387,0.8288354111470362,3071
RefCOCO+,owlv2,jpeg,2,0.2,0.4,0.3,0.7467777777777778,0.7218987691999299,0.7729431335964835,3168
RefCOCO+,owlv2,jpeg,3,0.4,0.6,0.5,0.7151736842105264,0.6853953955292776,0.7453404966814454,3040
RefCOCO+,owlv2,jpeg,4,0.6,0.8,0.7,0.6982864600326264,0.6688987188611718,0.7258413831065739,3065
RefCOCO+,owlv2,jpeg,5,0.8,1.0,0.9,0.6739669211195928,0.6457040673214973,0.7031379175356646,3144
RefCOCO+,owlv2,resolution,1,0.0,0.2,0.1,0.7457707409753007,0.7206446341862373,0.7718690849851902,3158
RefCOCO+,owlv2,resolution,2,0.2,0.4,0.3,0.741610422624722,0.7150381605699002,0.767054122858101,3147
RefCOCO+,owlv2,resolution,3,0.4,0.6,0.5,0.7258402640264026,0.6984573930763596,0.7543445464254149,3030
RefCOCO+,owlv2,resolution,4,0.6,0.8,0.7,0.67025048669695,0.6415409101742237,0.6985537066516577,3082
RefCOCO+,owlv2,resolution,5,0.8,1.0,0.9,0.6490107456854445,0.6199241292754426,0.6775427983114446,3071
RefCOCO+,owlv2,gaussian_noise,1,0.0,0.2,0.1,0.9047052700065061,0.8898164770197153,0.9188089448984923,3074
RefCOCO+,owlv2,gaussian_noise,2,0.2,0.4,0.3,0.8389949109414757,0.8185484259819225,0.8585849674950934,3144
