baseline,model,family_count,spearman_risk_share,cosine_risk_share,mean_absolute_risk_share_shift
RefCOCO,groundingdino,5,0.6,0.9206558169271879,0.06366622387886335
RefCOCO,yoloworld,5,0.9999999999999999,0.9958075494955959,0.015417324141218025
RefCOCO,owlv2,5,0.8999999999999998,0.9977281910639123,0.011851149265634815
RefCOCO+,groundingdino,5,0.9999999999999999,0.9925171167530541,0.022760211721160255
RefCOCO+,yoloworld,5,0.9999999999999999,0.997917380960879,0.013180067397562351
RefCOCO+,owlv2,5,0.9999999999999999,0.9990324502755537,0.009007319489372908
