model,comparison,full_manifest_delta,lower_95,upper_95
groundingdino,Ref-L4 minus RefCOCO,0.014937500000000048,-0.007088437499999911,0.03685031249999993
groundingdino,Ref-L4 minus RefCOCO+,0.01915,0.002111875000000071,0.03518906250000003
yoloworld,Ref-L4 minus RefCOCO,0.024550000000000072,-0.015314687499999952,0.06407531250000005
yoloworld,Ref-L4 minus RefCOCO+,0.03455000000000008,0.004193124999999984,0.06683968749999993
