model,scope,sample_count,eligible_count,clean_eligibility,full_manifest_operational,eligible_operational,coverage,conditional_ranking,conditional_minus_operational,full_manifest_lower_95,full_manifest_upper_95
groundingdino,source_refcoco,500,499,0.998,0.855375,0.8570891783567134,0.9449398797595191,0.9070303801495148,0.04994120179280137,0.8370993750000001,0.872675
groundingdino,source_refcocoplus,1000,1000,1.0,0.8511625,0.8511625,0.9374125,0.9079914125318364,0.056828912531836306,0.838511875,0.8635512499999999
groundingdino,target_refl4_pooled,1000,1000,1.0,0.8703125,0.8703125,0.977625,0.8902314282061118,0.01991892820611174,0.8587115625000001,0.8818128125
groundingdino,target_refl4_coco,600,600,1.0,0.8530208333333333,0.8530208333333333,0.9783541666666665,0.8718936990268522,0.01887286569351887,0.8366250000000001,0.8676463541666668
groundingdino,target_refl4_objects365,400,400,1.0,0.89625,0.89625,0.9765312500000001,0.9177893692598162,0.021539369259816254,0.8795601562500001,0.9115945312500001
yoloworld,source_refcoco,500,364,0.728,0.511775,0.7029876373626374,0.8071085164835166,0.8709951921031357,0.16800755474049833,0.47834874999999993,0.544928125
yoloworld,source_refcocoplus,1000,757,0.757,0.501775,0.6628467635402906,0.7604359313077939,0.8716668114305568,0.2088200478902662,0.4786225,0.5238534374999999
yoloworld,target_refl4_pooled,1000,781,0.781,0.536325,0.6867157490396928,0.7785851472471191,0.8820046869218435,0.19528893788215074,0.51373375,0.5593765624999999
yoloworld,target_refl4_coco,600,473,0.7883333333333333,0.5287916666666667,0.6707716701902748,0.7693181818181819,0.8719040912369893,0.20113242104671447,0.49949895833333335,0.5574182291666666
yoloworld,target_refl4_objects365,400,308,0.77,0.547625,0.7112012987012987,0.7928165584415584,0.8970565651394932,0.1858552664381945,0.51156171875,0.5841710937499999
owlv2,source_refcoco,500,488,0.976,0.739475,0.7576588114754098,0.8834272540983606,0.8576357679260054,0.09997695645059557,0.7175725000000001,0.762100625
owlv2,source_refcocoplus,1000,968,0.968,0.7331875,0.7574251033057852,0.870080061983471,0.8705234568634146,0.11309835355762943,0.71673625,0.7496878124999999
owlv2,target_refl4_pooled,1000,998,0.998,0.7676875,0.7692259519038076,0.8934619238476953,0.8609498976645079,0.09172394576070031,0.7526124999999999,0.78238875
owlv2,target_refl4_coco,600,600,1.0,0.78175,0.78175,0.9109999999999998,0.8581229418221735,0.07637294182217358,0.7621838541666667,0.8005260416666666
owlv2,target_refl4_objects365,400,398,0.995,0.7465937500000002,0.7503454773869347,0.8670226130653266,0.8654278055495183,0.11508232816258357,0.7210625,0.7703148437499999
