dataset,model,metric,point_estimate,lower_95,upper_95,bootstrap_repetitions
refcoco,groundingdino,theta_hat,0.855375,0.8378743750000001,0.8725018750000001,2000
refcoco,groundingdino,between_A,0.037037067394282225,0.03165751814784632,0.04487047485516919,2000
refcoco,groundingdino,within_B,0.08674778481012657,0.07726584651898735,0.09448579905063292,2000
refcoco,groundingdino,icc_rho,0.29920516714857853,0.2724474136723421,0.3438984999477224,2000
refcoco,groundingdino,crossover_R,2.3421882701090606,1.9078347588920095,2.6704331022850103,2000
refcoco,groundingdino,standard_error_R80,0.008731714001776376,0.008091110473582314,0.009587573824338495,2000
refcoco,owlv2,theta_hat,0.739475,0.71647375,0.762575625,2000
refcoco,owlv2,between_A,0.06491354571484742,0.0575202179921552,0.07557287342644146,2000
refcoco,owlv2,within_B,0.12787120253164558,0.1177982832278481,0.13444535601265822,2000
refcoco,owlv2,icc_rho,0.3367151515111014,0.30894737394100746,0.37905007419622705,2000
refcoco,owlv2,crossover_R,1.9698693257853899,1.6381738754961575,2.2367972168066674,2000
refcoco,owlv2,standard_error_R80,0.011533597508712794,0.01087450788664666,0.01241692694717162,2000
refcoco,yoloworld,theta_hat,0.511775,0.47892437500000007,0.5459256250000001,2000
refcoco,yoloworld,between_A,0.13988660052700339,0.13140694117744983,0.1511595505254972,2000
refcoco,yoloworld,within_B,0.11025727848101266,0.0990795332278481,0.11834885284810127,2000
refcoco,yoloworld,icc_rho,0.5592245594085499,0.5264354878583236,0.6041086425713621,2000
refcoco,yoloworld,crossover_R,0.7881904204236406,0.655331393575768,0.8995679937336492,2000
refcoco,yoloworld,standard_error_R80,0.01680861781991702,0.016302178551237397,0.01745829062486157,2000
refcocoplus,groundingdino,theta_hat,0.8511625,0.8393484375000001,0.862525,2000
refcocoplus,groundingdino,between_A,0.03539912912516947,0.03231115290706054,0.04105555569226267,2000
refcocoplus,groundingdino,within_B,0.09132231012658226,0.08453333069620254,0.09604841376582278,2000
refcocoplus,groundingdino,icc_rho,0.2793460154350333,0.2653326443532712,0.31173261419411247,2000
refcocoplus,groundingdino,crossover_R,2.579789740128107,2.207877374997421,2.7688540076085317,2000
refcocoplus,groundingdino,standard_error_R80,0.0060448869304356515,0.005778397635431871,0.006496681675048064,2000
refcocoplus,owlv2,theta_hat,0.7331875,0.7162090625000002,0.7497262499999999,2000
refcocoplus,owlv2,between_A,0.07133841311247957,0.06587834052109863,0.07973968209407982,2000
refcocoplus,owlv2,within_B,0.12435806962025316,0.11680755142405064,0.12882848892405066,2000
refcocoplus,owlv2,icc_rho,0.36453600042422896,0.34462888323564306,0.39843630597053337,2000
refcocoplus,owlv2,crossover_R,1.7432132871273331,1.5098114465628358,1.901672057753166,2000
refcocoplus,owlv2,standard_error_R80,0.008537733246168607,0.008211037543163598,0.009013623159249626,2000
refcocoplus,yoloworld,theta_hat,0.501775,0.479579375,0.5240168749999999,2000
refcocoplus,yoloworld,between_A,0.12943950634574447,0.12416843617915778,0.1371656827663304,2000
refcocoplus,yoloworld,within_B,0.12068829113924051,0.11288167325949368,0.12574940268987342,2000
refcocoplus,yoloworld,icc_rho,0.5174934879179698,0.4966430593409094,0.5486118903309057,2000
refcocoplus,yoloworld,crossover_R,0.9323914664574764,0.8227822212619884,1.0135185252989334,2000
refcocoplus,yoloworld,standard_error_R80,0.0114432560919078,0.011213472536883717,0.011771778291575974,2000
refl4,groundingdino,theta_hat,0.8703125,0.8576975,0.8826131249999999,2000
refl4,groundingdino,between_A,0.03447103417103812,0.031028044520093667,0.040086735211774284,2000
refl4,groundingdino,within_B,0.07843306962025318,0.07139026503164558,0.08337989319620252,2000
refl4,groundingdino,icc_rho,0.30531249984287107,0.29041845821897694,0.33878564909550396,2000
refl4,groundingdino,crossover_R,2.275332652658013,1.9517189025292458,2.4433073352769594,2000
refl4,groundingdino,standard_error_R80,0.005954111818003697,0.005654562562022505,0.0064096894509064455,2000
refl4,owlv2,theta_hat,0.7676875,0.7525246875,0.7833628125,2000
refl4,owlv2,between_A,0.05948459495492328,0.05527541751175623,0.06635296462473152,2000
refl4,owlv2,within_B,0.11891977848101265,0.11161553401898736,0.1229946914556962,2000
refl4,owlv2,icc_rho,0.33342565436762617,0.3184850261414858,0.36347636793100774,2000
refl4,owlv2,crossover_R,1.9991693407533269,1.7512105019531659,2.139865044435429,2000
refl4,owlv2,standard_error_R80,0.007808398823442354,0.007533545820936126,0.008238244737897263,2000
refl4,yoloworld,theta_hat,0.536325,0.5139234375,0.5586528125000001,2000
refl4,yoloworld,between_A,0.12733909868729487,0.1220595466587038,0.13562968131957115,2000
refl4,yoloworld,within_B,0.12147025316455697,0.11363602056962027,0.1262301107594937,2000
refl4,yoloworld,icc_rho,0.5117938603976437,0.4919802670059487,0.5442685029172892,2000
refl4,yoloworld,crossover_R,0.9539116769064782,0.8373284477001817,1.0326018552529783,2000
refl4,yoloworld,standard_error_R80,0.011351540725903768,0.011119245514331797,0.011706529668765947,2000
