dataset,model,pair_count,unique_image_count,queries_per_image,probe_count,theta_hat,between_A_raw,between_A,within_B,A_plus_B,bernoulli_variance,icc_rho,crossover_R,probe_share_R80,design_effect_R80,effective_trials_R80,raw_probe_trials,cluster_se_R80,naive_independent_se,se_understatement_factor,hoeffding_radius_95
refcoco,groundingdino,500,500,1.0,80,0.855375,0.037037067394282225,0.037037067394282225,0.08674778481012657,0.1237848522044088,0.123708609375,0.29920516714857853,2.3421882701090606,0.028444571601934164,24.637208204737703,1623.5605782763994,40000,0.008731714001776376,0.0017586117349702294,4.965117557301066,0.07359791376827095
refcoco,owlv2,500,500,1.0,80,0.739475,0.06491354571484742,0.06491354571484742,0.12787120253164558,0.192784748246493,0.192651724375,0.3367151515111014,1.9698693257853899,0.024031627011094004,27.60049696937701,1449.249266938213,40000,0.011533597508712794,0.002194605456426052,5.255430981883838,0.07359791376827095
refcoco,yoloworld,500,500,1.0,80,0.511775,0.13988660052700339,0.13988660052700339,0.11025727848101266,0.25014387900801605,0.249861349375,0.5592245594085499,0.7881904204236406,0.009756257892668213,45.17874019327544,885.3721867603945,40000,0.01680861781991702,0.0024993066507283577,6.725312324127409,0.07359791376827095
refcocoplus,groundingdino,1000,1000,1.0,80,0.8511625,0.03539912912516947,0.03539912912516947,0.09132231012658226,0.12672143925175172,0.12668489859374996,0.2793460154350333,2.579789740128107,0.031239964987153583,23.06833521936763,3467.9572339851334,80000,0.0060448869304356515,0.0012583962938684595,4.803643303694858,0.05204158390672717
refcocoplus,owlv2,1000,1000,1.0,80,0.7331875,0.07133841311247957,0.07133841311247957,0.12435806962025316,0.1956964827327327,0.19562358984375,0.36453600042422896,1.7432132871273331,0.02132548033075486,29.798344033514088,2684.7129461296336,80000,0.008537733246168607,0.0015637438642715357,5.45980287516324,0.05204158390672717
refcocoplus,yoloworld,1000,1000,1.0,80,0.501775,0.12943950634574447,0.12943950634574447,0.12068829113924051,0.250127797484985,0.249996849375,0.5174934879179698,0.9323914664574764,0.011520621713543544,41.88198554551961,1910.1291153699403,80000,0.0114432560919078,0.001767755813789761,6.473323975315035,0.05204158390672717
refl4,groundingdino,1000,1000,1.0,80,0.8703125,0.03447103417103812,0.03447103417103812,0.07843306962025318,0.11290410379129129,0.11286865234374997,0.30531249984287107,2.275332652658013,0.027655101222911985,25.119687487586813,3184.752996610047,80000,0.005954111818003697,0.0011877955018844257,5.012741510266336,0.05204158390672717
refl4,owlv2,1000,1000,1.0,80,0.7676875,0.05948459495492328,0.05948459495492328,0.11891977848101265,0.17840437343593593,0.17834340234375,0.33342565436762617,1.9991693407533269,0.024380360884457716,27.340626695042467,2926.0485098721597,80000,0.007808398823442354,0.0014930815548043165,5.22972023752964,0.05204158390672717
refl4,yoloworld,1000,1000,1.0,80,0.536325,0.12733909868729487,0.12733909868729487,0.12147025316455697,0.24880935185185182,0.248680494375,0.5117938603976437,0.9539116769064782,0.01178339202080334,41.431714971413854,1930.8879696434637,80000,0.011351540725903768,0.0017630956240906222,6.438414667246832,0.05204158390672717
