dataset,model,between_A_raw,between_A,truncation_applied,truncation_adjustment
refcoco,groundingdino,0.037037067394282225,0.037037067394282225,False,0.0
refcoco,owlv2,0.06491354571484742,0.06491354571484742,False,0.0
refcoco,yoloworld,0.13988660052700339,0.13988660052700339,False,0.0
refcocoplus,groundingdino,0.03539912912516947,0.03539912912516947,False,0.0
refcocoplus,owlv2,0.07133841311247957,0.07133841311247957,False,0.0
refcocoplus,yoloworld,0.12943950634574447,0.12943950634574447,False,0.0
refl4,groundingdino,0.03447103417103812,0.03447103417103812,False,0.0
refl4,owlv2,0.05948459495492328,0.05948459495492328,False,0.0
refl4,yoloworld,0.12733909868729487,0.12733909868729487,False,0.0
