dataset,model,setting_index,setting_id,tracked_candidate_count,exposed_candidate_count,duplicate_iou_threshold,match_iou_threshold,birth_duplicate_iou_threshold,sample_count,eligible_count,clean_eligibility,reference_probe_count,coverage,conditional_ranking,full_manifest_operational,eligible_only_operational,winner_missing_share,competitor_missing_share,threatening_birth_share,ranking_reversal_share
RefCOCO,groundingdino,0,kt2_ke10_match0.10_birth0.50_dup0.70,2,10,0.7,0.1,0.5,500,499,0.998,39920,0.9715931863727455,0.9289949981952251,0.9007999897003174,0.9026051981893475,0.000257201646090535,0.0205761316872428,0.2708333333333333,0.7083333333333334
RefCOCO,groundingdino,1,kt2_ke10_match0.10_birth0.70_dup0.70,2,10,0.7,0.1,0.7,500,499,0.998,39920,0.9658066132264529,0.9308260925949942,0.8971999883651733,0.8989980082234782,0.000248015873015873,0.01984126984126984,0.31845238095238093,0.6614583333333334
RefCOCO,groundingdino,2,kt2_ke10_match0.10_birth0.85_dup0.70,2,10,0.7,0.1,0.85,500,499,0.998,39920,0.9658066132264529,0.9308260925949942,0.8971999883651733,0.8989980082234782,0.000248015873015873,0.01984126984126984,0.31845238095238093,0.6614583333333334
RefCOCO,groundingdino,3,kt2_ke10_match0.15_birth0.50_dup0.70,2,10,0.7,0.15,0.5,500,499,0.998,39920,0.9707665330661323,0.9289345341005858,0.8999750018119812,0.90177853265124,0.000510073960724305,0.030859474623820455,0.2662586074980872,0.7023718439173681
RefCOCO,groundingdino,4,kt2_ke10_match0.15_birth0.70_dup0.70,2,10,0.7,0.15,0.7,500,499,0.998,39920,0.9650050100200401,0.930768631726501,0.8964000344276428,0.8981964172485596,0.0004921259842519685,0.029773622047244094,0.31348425196850394,0.65625
RefCOCO,groundingdino,5,kt2_ke10_match0.15_birth0.85_dup0.70,2,10,0.7,0.15,0.85,500,499,0.998,39920,0.9650050100200401,0.930768631726501,0.8964000344276428,0.8981964172485596,0.0004921259842519685,0.029773622047244094,0.31348425196850394,0.65625
RefCOCO,groundingdino,6,kt2_ke10_match0.25_birth0.50_dup0.70,2,10,0.7,0.25,0.5,500,499,0.998,39920,0.9703156312625251,0.9289015102620369,0.8995250463485718,0.9013276797736097,0.002538715410002539,0.03478040111703478,0.26351865955826353,0.6991622239146992
RefCOCO,groundingdino,7,kt2_ke10_match0.25_birth0.70_dup0.70,2,10,0.7,0.25,0.7,500,499,0.998,39920,0.9645791583166332,0.9307380667947852,0.8959750533103943,0.897770577776647,0.002450379808870375,0.03357020338152414,0.31046312178387653,0.6535162950257289
RefCOCO,groundingdino,8,kt2_ke10_match0.25_birth0.85_dup0.70,2,10,0.7,0.25,0.85,500,499,0.998,39920,0.9645791583166332,0.9307380667947852,0.8959750533103943,0.897770577776647,0.002450379808870375,0.03357020338152414,0.31046312178387653,0.6535162950257289
RefCOCO,groundingdino,9,kt2_ke15_match0.10_birth0.50_dup0.70,2,15,0.7,0.1,0.5,500,499,0.998,39920,0.9716683366733467,0.9293098558869782,0.9011749625205994,0.9029809496923534,0.0,0.018590240123934933,0.273431448489543,0.7079783113865221
RefCOCO,groundingdino,10,kt2_ke15_match0.10_birth0.70_dup0.70,2,15,0.7,0.1,0.7,500,499,0.998,39920,0.9660070140280561,0.9310219640588129,0.8975749611854553,0.8993736985690131,0.0,0.017923823749066467,0.3198904655215335,0.6621857107294
RefCOCO,groundingdino,11,kt2_ke15_match0.10_birth0.85_dup0.70,2,15,0.7,0.1,0.85,500,499,0.998,39920,0.9660070140280561,0.9310219640588129,0.8975749611854553,0.8993736985690131,0.0,0.017923823749066467,0.3198904655215335,0.6621857107294
RefCOCO,groundingdino,12,kt2_ke15_match0.15_birth0.50_dup0.70,2,15,0.7,0.15,0.5,500,499,0.998,39920,0.9710671342685371,0.9292660905455953,0.9005749225616455,0.9023797105930611,0.00025660764690787786,0.02617397998460354,0.2699512445470875,0.7036181678214011
RefCOCO,groundingdino,13,kt2_ke15_match0.15_birth0.70_dup0.70,2,15,0.7,0.15,0.7,500,499,0.998,39920,0.9654308617234469,0.9309807991696938,0.8970000147819519,0.8987975951903807,0.00024752475247524753,0.02524752475247525,0.3160891089108911,0.6584158415841584
RefCOCO,groundingdino,14,kt2_ke15_match0.15_birth0.85_dup0.70,2,15,0.7,0.15,0.85,500,499,0.998,39920,0.9654308617234469,0.9309807991696938,0.8970000147819519,0.8987975951903807,0.00024752475247524753,0.02524752475247525,0.3160891089108911,0.6584158415841584
RefCOCO,groundingdino,15,kt2_ke15_match0.25_birth0.50_dup0.70,2,15,0.7,0.25,0.5,500,499,0.998,39920,0.9707915831663326,0.9292460133147546,0.9002999663352966,0.9021041961853394,0.0015353121801432957,0.028659160696008188,0.26816786079836236,0.7016376663254862
