dataset,model_a,model_b,comparison,minimum_same_contract_gap,maximum_same_contract_gap,worst_setting_index,same_contract_ranking_invariant,model_a_minimum,model_b_maximum,strong_interval_gap,strong_interval_separation,worst_setting_id,bootstrap_repetitions,bootstrap_lower_95,bootstrap_median,bootstrap_upper_95,bootstrap_probability_minimum_gap_positive
RefCOCO,groundingdino,owlv2,GroundingDINO - OWLv2,0.09125000238418579,0.12792491912841797,1,True,0.8332249522209167,0.8095499873161316,0.023674964904785156,True,kt2_ke10_match0.10_birth0.70_dup0.70,2000,0.06569937476813793,0.09052500072121619,0.11545375100299714,1.0
RefCOCO,groundingdino,yoloworld,GroundingDINO - YOLO-World,0.31470000743865967,0.34720009565353394,1,True,0.8332249522209167,0.584475040435791,0.24874991178512573,True,kt2_ke10_match0.10_birth0.70_dup0.70,2000,0.2764400002390146,0.31522500139474874,0.35067562656477097,1.0
RefCOCO,owlv2,yoloworld,OWLv2 - YOLO-World,0.19812506437301636,0.23502510786056519,88,True,0.7053000330924988,0.584475040435791,0.12082499265670776,True,kt5_ke10_match0.25_birth0.70_dup0.70,2000,0.16169875042140483,0.19867499973624947,0.23457687502168117,1.0
RefCOCO+,groundingdino,owlv2,GroundingDINO - OWLv2,0.09852498769760132,0.1351999044418335,7,True,0.8224749565124512,0.8015875220298767,0.020887434482574463,True,kt2_ke10_match0.25_birth0.70_dup0.70,2000,0.07932906148945913,0.09719374993443489,0.11643062452506271,1.0
RefCOCO+,groundingdino,yoloworld,GroundingDINO - YOLO-World,0.3008624315261841,0.354312539100647,1,True,0.8224749565124512,0.5980875492095947,0.22438740730285645,True,kt2_ke10_match0.10_birth0.70_dup0.70,2000,0.2741240624759346,0.3004250006861985,0.32815312556233256,1.0
RefCOCO+,owlv2,yoloworld,OWLv2 - YOLO-World,0.19036251306533813,0.2351750135421753,88,True,0.6872750520706177,0.5980875492095947,0.08918750286102295,True,kt5_ke10_match0.25_birth0.70_dup0.70,2000,0.16254875016510487,0.1897312503270805,0.215444062752556,1.0
Ref-L4,groundingdino,owlv2,GroundingDINO - OWLv2,0.061625003814697266,0.1464499831199646,9,True,0.8525999784469604,0.8195374608039856,0.033062517642974854,True,kt2_ke15_match0.10_birth0.50_dup0.70,2000,0.043459062009677286,0.0610875000320375,0.07891374924331902,1.0
Ref-L4,groundingdino,yoloworld,GroundingDINO - YOLO-World,0.24480003118515015,0.3377000689506531,18,True,0.8525999784469604,0.6364749670028687,0.2161250114440918,True,kt2_ke20_match0.10_birth0.50_dup0.70,2000,0.21739968891963363,0.24480000073835254,0.27240156297367063,1.0
Ref-L4,owlv2,yoloworld,OWLv2 - YOLO-World,0.1776999831199646,0.23864996433258057,7,True,0.7061499953269958,0.6364749670028687,0.0696750283241272,True,kt2_ke10_match0.25_birth0.70_dup0.70,2000,0.1501118746144697,0.17745625092089176,0.2054400013685226,1.0
