model,diagnostic_budget,mean_family_stability_error,mean_family_risk_share_error
groundingdino,5,0.005512499999999987,0.008185661095713961
groundingdino,10,0.004087499999999999,0.006469292266204621
groundingdino,20,0.0031874999999999655,0.00492912006455824
groundingdino,40,0.003037499999999982,0.004374637926298939
yoloworld,5,0.004755614266842822,0.0027940515470605163
yoloworld,10,0.002443857331572008,0.0014594735110582207
yoloworld,20,0.0036657859973579844,0.0020966433531344336
yoloworld,40,0.0031043593130779313,0.0016893186097870342
