model,eligible_samples,probe_count,coverage,conditional_ranking,operational_stability,conditional_minus_operational,predicted_gap_from_identity,gap_identity_residual,operational_risk,coverage_risk,conditional_ranking_risk,risk_identity_residual
groundingdino,1000,80000,0.9374125,0.9079914125318364,0.8511625,0.056828912531836306,0.05682891253183633,2.0816681711721685e-17,0.14883749999999996,0.06258750000000002,0.08624999999999995,1.3877787807814457e-17
yoloworld,757,60560,0.760435931307794,0.8716668114305568,0.6628467635402906,0.2088200478902662,0.20882004789026612,8.326672684688674e-17,0.3371532364597094,0.23956406869220603,0.09758916776750327,9.71445146547012e-17
owlv2,968,77440,0.8700800619834711,0.8705234568634144,0.7574251033057852,0.1130983535576292,0.11309835355762926,5.551115123125783e-17,0.24257489669421484,0.1299199380165289,0.11265495867768599,5.551115123125783e-17
