model,competitor_rank,count,share
groundingdino,2,5372,0.7785507246376812
groundingdino,3,979,0.1418840579710145
groundingdino,4,355,0.05144927536231884
groundingdino,5,194,0.028115942028985506
yoloworld,2,4851,0.8208121827411168
yoloworld,3,823,0.1392554991539763
yoloworld,4,195,0.03299492385786802
yoloworld,5,41,0.0069373942470389175
owlv2,2,6625,0.759399358092618
owlv2,3,1333,0.1527968821641449
owlv2,4,535,0.061325080238422744
owlv2,5,231,0.026478679504814306
